Fuel,2025,2024,2023,2022,RTO Office
ELECTRIC(BOV),151,407,335,284,KHAMGAON_-_MH56
LPG ONLY,123,87,57,29,KHAMGAON_-_MH56
NOT APPLICABLE,329,163,175,109,KHAMGAON_-_MH56
PETROL,11126,15350,13610,12893,KHAMGAON_-_MH56
PETROL/CNG,229,100,51,19,KHAMGAON_-_MH56
PETROL(E20)/CNG,32,0,0,0,KHAMGAON_-_MH56
PETROL(E20)/HYBRID,12,0,0,0,KHAMGAON_-_MH56
PETROL/ETHANOL,4010,306,166,0,KHAMGAON_-_MH56
PETROL/HYBRID,79,124,125,105,KHAMGAON_-_MH56
PETROL/LPG,12,20,7,10,KHAMGAON_-_MH56
PURE EV,760,276,0,0,KHAMGAON_-_MH56
STRONG HYBRID EV,19,13,0,0,KHAMGAON_-_MH56
CNG ONLY,1109,1111,799,426,KOLHAPUR-MH09
DIESEL,5926,5257,4781,5344,KOLHAPUR-MH09
DIESEL/HYBRID,26,21,6,0,KOLHAPUR-MH09
ELECTRIC(BOV),949,7792,9558,5716,KOLHAPUR-MH09
ETHANOL,8,0,0,0,KOLHAPUR-MH09
LPG ONLY,49,53,91,56,KOLHAPUR-MH09
NOT APPLICABLE,345,214,192,348,KOLHAPUR-MH09
PETROL,36566,40339,35264,36403,KOLHAPUR-MH09
PETROL/CNG,3703,2913,2003,1679,KOLHAPUR-MH09
PETROL(E20)/CNG,367,0,0,0,KOLHAPUR-MH09
PETROL(E20)/HYBRID,50,0,0,0,KOLHAPUR-MH09
PETROL/ETHANOL,12151,1516,627,0,KOLHAPUR-MH09
PETROL/HYBRID,306,372,538,355,KOLHAPUR-MH09
PETROL/LPG,1,2,26,66,KOLHAPUR-MH09
PURE EV,10151,3992,0,0,KOLHAPUR-MH09
STRONG HYBRID EV,221,104,0,0,KOLHAPUR-MH09
CNG ONLY,216,114,26,11,MALEGAON_-_MH41
DIESEL,9729,6645,5150,6116,MALEGAON_-_MH41
DIESEL/HYBRID,2,4,1,0,MALEGAON_-_MH41
ELECTRIC(BOV),222,1777,1385,1104,MALEGAON_-_MH41
ETHANOL,0,1,0,0,MALEGAON_-_MH41
LPG ONLY,115,168,101,67,MALEGAON_-_MH41
NOT APPLICABLE,1718,1554,1058,1673,MALEGAON_-_MH41
PETROL,20355,25431,22455,21521,MALEGAON_-_MH41
PETROL/CNG,1063,870,575,371,MALEGAON_-_MH41
PETROL(E20)/CNG,117,0,0,0,MALEGAON_-_MH41
PETROL(E20)/HYBRID,7,0,0,0,MALEGAON_-_MH41
PETROL(E20)/LPG,1,1,0,0,MALEGAON_-_MH41
PETROL/ETHANOL,6729,461,235,0,MALEGAON_-_MH41
PETROL/HYBRID,47,100,94,79,MALEGAON_-_MH41
PETROL/LPG,3,8,17,27,MALEGAON_-_MH41
PURE EV,5014,2135,0,0,MALEGAON_-_MH41
